korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
한동준,Dong-Jun Han,202409,연세대학교 컴퓨터과학과,2011,,,,,,2022,,,-YR-GxUAAAAJ,https://sites.google.com/view/djhan930/members,,
한동환,Dong Hwan Han,,선문대학교 제약생명공학과,,1987,1993,최봉대,,41765,1993,,335619,,https://btpe.sunmoon.ac.kr/btpe/ad/pp/profsrintrcnPage.do?mi=40799,Queueing system with retrials and vacations,
허미경,Vera Mikyoung Hur,200908,UIUC 수학과 (미국),1995,,,,,,2006,35096,782185,JgfKadUAAAAJ,https://faculty.math.illinois.edu/~verahur,Steady Water Waves with Vorticity,
허석문,Sukmoon Huh,201103,성균관대학교 수학과,1996,,,,,,2007,136459,886034,,https://professor.skku.edu/researcher_eng/professorList.do?mode=view&perId=LZStrMYZgggGiwI4EwwKJgHYBsICMASAZEA7gPIBmBAvOUA%20&categoryId=U&jojikCode1=3172&jojikCode2=317202,Moduli Spaces of Stable Sheaves on a Plane and an Embedded Curve,
허영미,Youngmi Hur,201403,연세대학교 수학과,1993,1997,,,,,2006,106288,805869,TJLvYiEAAAAJ,http://wavelets.yonsei.ac.kr/~wavelets/,Novel Methodologies for Effective Wavelet Constructions in High Dimensions,
허영식,Youngsik Huh,2004,한양대학교 수학과,1989,1993,2000,진교택,,41826,2000,,693037,bb-rXIUAAAAJ,https://sites.google.com/site/youngsikhuh/home,Projections of theta-m curves and finite-type invariants of theta curves,
허철원,Cheolwon Heo,202502,SUNY Korea 응용수학통계학과,2005,,,,,,2021,279873,1468070,BurgUAAAAJ,https://sites.google.com/view/cwheo,,
허충길,Chung-Kil Hur,201309,서울대학교 컴퓨터공학과,1995,,,,,,2010,185123,846000,ognOntwAAAAJ,https://sf.snu.ac.kr/gil.hur/,Categorical equational systems: algebraic models and equational reasoning,
현동훈,David Donghoon Hyeon,2015,서울대학교 수리과학부,1992,,,,,,2001,49332,673409,,,Moduli questions for augmented bundles,1
홍순조,Sonja Hong,201709,홍익대학교 교양과,,,2009,신수진,,41926,2009,136625,873722,,https://www.hongik.ac.kr/kr/education/intro-university.do?mode=prof&deptCd=B33100&S1=2017&S2=10045,Renewal systems and their generating sets,
황강욱,Gang Uk Hwang,,KAIST 수리과학과,1987,1991,1997,최봉대,,41789,1997,230574,628134,,http://queue.kaist.ac.kr/~guhwang/,The MAP/G/1 queue and its applications to ATM networks,
황동선,DongSeon Hwang,202203,IBS 복소기하학연구단,1999,,2009,곽시종,금종해,41922,2009,166440,933189,04vFx7EAAAAJ,,On homology projective planes,
Harvey Rosas,,201207,Universidad de Valparaíso 통계학과 (칠레),,2004,2011,길이만,김성호,181563,2011,,,,https://www.linkedin.com/in/harvey-rosas-96732322/?originalSubdomain=cl,Text mining based on conditional probability output networks,
Darkhijav Bayanjargal,,,National university of Mongolia (몽골),,,2009,곽도영,,41924,,,616727,,,A conservative covolume method for the navier-stokes equations,
양대원,Daewon Yang,202303,충남대학교 통계학과,2011,,2021,정연승,,294694,,,,,https://stat.cnu.ac.kr/stat/faculty/faculty01.do?mode=view&key=LZStrEwBmGYEYRAWAOIA%20&pager.offset=0&pagerLimit=10,Nonparametric Bayesian hierarchical model and multivariate meta-regression model for environmental epidemiology study,
Haojun Li,,,"Yanbian University of Science and Technology, School of Materials, Mechanical & Automation Engineering (중국)",,2004,,,,,,,,,,,
Fayyaz Ahmad,,,University of Gujrat (파키스탄),,,2010,김성호,,41949,,,,3gY3OX0AAAAJ,https://uog.edu.pk/offices/euo57cea53bd4c26/fayyaz-ahmad,A neighborhood method for statistical analysis of fMRI data,
